,area of study,course_name,university_name,course_fee,course_link
126,environmental-science,Master of Applied Science (Environmental Management and Spatial Sciences),University of Tasmania (UTAS),"AUD 61,900",https://www.idp.com/global/Categories/University-of-Tasmania-%28UTAS%29/Master-of-Applied-Science-Environmental-Management-and-Spatial-Sciences/p/PRG-AU-00239497
127,environmental-science,Master of Cultural Materials Conservation,The University of Melbourne,"AUD 36,480",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Cultural-Materials-Conservation/p/PRG-AU-00299408
128,environmental-science,Master of Cultural Materials Conservation,The University of Melbourne,"AUD 54,720",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Cultural-Materials-Conservation/p/PRG-AU-00299407
129,environmental-science,MSc (by Dissertation) Environmental Biology,University of Essex,"GBP 35,800",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-by-Dissertation-Environmental-Biology/p/PRG-UK-00341895
130,environmental-science,Master of Sustainable Environments and Planning,Bond University,"AUD 16,290",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Sustainable-Environments-and-Planning/p/PRG-AU-00110471
131,environmental-science,Sustainability Planning and Environmental Policy (MSc),Cardiff University,"GBP 19,450",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Sustainability-Planning-and-Environmental-Policy-MSc/p/PRG-UK-00069866
132,environmental-science,Bachelor of Environmental Policy and Management,The University of Adelaide,"AUD 123,000",https://www.idp.com/global/Categories/The-University-of-Adelaide/Bachelor-of-Environmental-Policy-and-Management/p/PRG-AU-00060820
133,environmental-science,MSc Water Resources Management,University of Southampton,"GBP 24,400",https://www.idp.com/global/Categories/University-of-Southampton/MSc-Water-Resources-Management/p/PRG-UK-00083354
134,environmental-science,MSc Environmental Pollution Control,University of Southampton,"GBP 24,400",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Environmental-Pollution-Control/p/PRG-UK-00083355
135,environmental-science,"MSc Energy and Sustainability (Energy, Environment and Buildings)",University of Southampton,"GBP 24,000",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Energy-and-Sustainability-Energy-Environment-and-Buildings/p/PRG-UK-00106686
136,environmental-science,Master of Sustainable Energy,The University of Queensland,"AUD 67,680",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Sustainable-Energy/p/PRG-AU-00241371
137,environmental-science,Master of Sustainable Energy (Management),The University of Queensland,"AUD 90,240",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Sustainable-Energy-Management/p/PRG-AU-00310099
138,environmental-science,Master of Applied Science (Environmental Management and Spatial Sciences),University of Tasmania (UTAS),"AUD 46,425",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Applied-Science-Environmental-Management-and-Spatial-Sciences/p/PRG-AU-00350066
139,environmental-science,Bachelor of Science - Ecology,The University of Queensland,"AUD 134,289",https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Science-Ecology/p/PRG-AU-00115290
140,environmental-science,Bachelor of Science in Environmental Science,Laurentian University,"CAD 103,840",https://www.idp.com/global/Categories/Laurentian-University/Bachelor-of-Science-in-Environmental-Science/p/PRG-CA-00110903
141,environmental-science,MSc Ecological Management and Conservation Biology,Queen's University Belfast,"GBP 21,400",https://www.idp.com/global/Categories/Queen%27s-University-Belfast/MSc-Ecological-Management-and-Conservation-Biology/p/PRG-UK-00186103
142,environmental-science,Master of Science in Environmental and Life Sciences,Trent University,"CAD 39,584",https://www.idp.com/global/Categories/Trent-University/Master-of-Science-in-Environmental-and-Life-Sciences/p/PRG-CA-00070527
143,environmental-science,Master of Applied Science in Environmental Applied Science and Management,Ryerson University,"CAD 44,380",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Applied-Science-in-Environmental-Applied-Science-and-Management/p/PRG-CA-00071695
144,environmental-science,Doctor of Philosophy in Plant Science,McGill University,"CAD 48,366",https://www.idp.com/global/Categories/McGill-University/Doctor-of-Philosophy-in-Plant-Science/p/PRG-CA-00087498
145,environmental-science,Energy and Environment MSc,University of Leeds,"GBP 24,000",https://www.idp.com/global/Categories/University-of-Leeds/Energy-and-Environment-MSc/p/PRG-UK-00077670
146,environmental-science,BSc (Hons) Environmental Management,University of Reading,"GBP 62,490",https://www.idp.com/global/Categories/University-of-Reading/BSc-Hons-Environmental-Management/p/PRG-UK-00078937
147,environmental-science,MSc Environmental Management,University of Stirling,"GBP 20,845",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Environmental-Management/p/PRG-UK-00080763
148,environmental-science,MSc - Environmental Sustainability,University of Edinburgh,"GBP 27,000",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Environmental-Sustainability/p/PRG-UK-00083931
