,location,course_link,duration,entry_score,course_qualification,intakes
1642,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Bachelor-of-Fine-Arts/p/PRG-US-00000767,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1643,United States,https://www.idp.com/global/Categories/University-of-North-Texas/Bachelor-of-Fine-Arts-in-Studio-Art-Printmaking/p/PRG-US-00000887,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1644,United States,https://www.idp.com/global/Categories/University-of-North-Texas/Bachelor-of-Fine-Arts-in-Fashion-Design/p/PRG-US-00000924,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1645,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Bachelor-of-Fine-Arts-in-Studio-Art-Sculpture/p/PRG-US-00000895,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1646,United States,https://www.idp.com/global/Categories/University-of-North-Texas/Bachelor-of-Fine-Arts-in-Studio-Art-Ceramics/p/PRG-US-00000946,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1647,United States,https://www.idp.com/global/Categories/University-of-Pennsylvania/Master-of-Integrated-Product-Design/p/PRG-US-00001370,4 Semester(s),7.5 IELTS,Masters Degree,['may']
1648,United States,https://www.idp.com/global/Categories/Art-and-Design/Design-and-Applied-Arts/Artist-Diploma/p/PRG-US-00002125,2 Year(s),,Bachelor Degree,['august']
1649,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Master-of-Fine-Arts/p/PRG-US-00002166,2 Year(s),6.0 IELTS,Masters Degree,['august']
1650,United States,https://www.idp.com/global/Categories/Art-and-Design/Arts-Management/Bachelor-of-Arts-in-History-of-Art-and-Architecture/p/PRG-US-00002468,8 Semester(s),7.0 IELTS,Bachelor Degree,['september']
1651,United States,https://www.idp.com/global/Categories/Art-and-Design/Design-and-Applied-Arts/Doctor-of-Design/p/PRG-US-00002651,3 Year(s),6.0 IELTS,Ph.D.,['september']
1652,United States,https://www.idp.com/global/Categories/Art-and-Design/Design-and-Applied-Arts/Master-in-Design-Studies/p/PRG-US-00002652,1 Year(s),6.0 IELTS,Masters Degree,['september']
