,location,course_link,duration,entry_score,course_qualification,intakes
1227,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/Msc-Finance-with-Advanced-Practice-in-second-year/p/PRG-UK-00329220,2 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1228,United Kingdom,https://www.idp.com/global/Categories/University-of-Reading/Masters-in-Finance/p/PRG-UK-00330013,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1229,United States,https://www.idp.com/global/Categories/Finance/Actuarial-Science/Bachelor-of-Science-in-Mathematics-Actuarial-Science/p/PRG-US-00330336,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1230,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Science-in-Finance/p/PRG-US-00317526,3 Semester(s),6.5 IELTS,Masters Degree,"['may', 'september']"
1231,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Graduate-Pathway-in-Finance/p/PRG-US-00317607,4 Month(s),,Foundation for Postgraduate,"['january', 'september']"
1232,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Graduate-Pathway-in-Finance/p/PRG-US-00317610,8 Month(s),,Foundation for Postgraduate,"['january', 'september']"
1233,United States,https://www.idp.com/global/Categories/Colorado-State-University---INTO-USA/Graduate-Pathway-in-Finance/p/PRG-US-00318272,2 Semester(s),,Foundation for Postgraduate,['august']
1234,United States,https://www.idp.com/global/Categories/Colorado-State-University---INTO-USA/Graduate-Pathway-in-Greenhouse-Gas-Management-and-Accounting/p/PRG-US-00318277,1 Semester(s),,Foundation for Postgraduate,['january']
1235,United States,https://www.idp.com/global/Categories/Colorado-State-University---INTO-USA/Graduate-Pathway-in-Greenhouse-Gas-Management-and-Accounting/p/PRG-US-00318278,2 Semester(s),,Foundation for Postgraduate,['august']
1236,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Masters-of-Science-in-Accounting/p/PRG-US-00318542,11 Month(s),7.0 IELTS,Masters Degree,['august']
1237,United States,https://www.idp.com/global/Categories/George-Mason-University---INTO-USA/Graduate-Pathway-in-Accounting/p/PRG-US-00318605,2 Semester(s),,Foundation for Postgraduate,['august']
1238,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Science-in-Business-Administration-Finance-Traditional/p/PRG-US-00318477,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1239,United States,https://www.idp.com/global/Categories/University-of-Massachusetts---Boston-%28Shorelight%29/Master-of-Science-in-Accounting/p/PRG-US-00318487,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
1240,United States,https://www.idp.com/global/Categories/Illinois-Institute-Of-Technology---CEG/Master-of-Computer-Science-Finance/p/PRG-US-00334713,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
1241,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Business-Administration-in-Finance/p/PRG-US-00335064,4 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
1242,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/Msc-Finance/p/PRG-UK-00335527,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['january', 'september']"
1243,Australia,https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Actuarial-Science-Enhanced/p/PRG-AU-00335687,2 Year(s),6.5 IELTS,Masters Degree (Coursework),['march']
1244,Australia,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Laws-LLB-Bachelor-of-Business-BBus-Banking/p/PRG-AU-00336142,5 Year(s),6.5 IELTS,Dual Degree,"['feb', 'july']"
1245,Australia,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-CommerceBachelor-of-Laws-Banking-Major/p/PRG-AU-00336161,5 Year(s),6.5 IELTS,Dual Degree,"['feb', 'july']"
1246,United Kingdom,https://www.idp.com/global/Categories/University-of-Huddersfield/MSc-Banking-and-Finance-Professional-Practice/p/PRG-UK-00336324,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
1247,United Kingdom,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Masters-in-Finance-and-Financial-Technology-FinTech/p/PRG-UK-00336834,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1248,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Science-in-Business-Administration-Accounting/p/PRG-US-00339026,8 Semester(s),6.0 IELTS,Bachelor Degree,['august']
1249,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Science-in-Business-Administration-Finance/p/PRG-US-00339033,8 Semester(s),6.0 IELTS,Bachelor Degree,['august']
1250,United Kingdom,https://www.idp.com/global/Categories/Birkbeck%2C-University-of-London/BSc-Hons-Finance-with-Accounting/p/PRG-UK-00339434,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['october']
1251,United States,https://www.idp.com/global/Categories/DePaul-University---StudyGroup-USA/Bachelor-of-Science-in-Business-Accountancy/p/PRG-US-00339353,8 Semester(s),6.5 IELTS,Bachelor Degree,['september']
1252,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Science-in-Business-Accountancy-Honors/p/PRG-US-00339357,8 Semester(s),6.5 IELTS,Honours,['september']
1253,United States,https://www.idp.com/global/Categories/University-of-Hartford---StudyGroup-USA/Bachelor-of-Science-in-Finance/p/PRG-US-00339391,8 Semester(s),6.5 IELTS,Bachelor Degree,"['august', 'september']"
1254,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Science-in-Accountancy/p/PRG-US-00339427,2 Semester(s),7.0 IELTS,Masters Degree,"['january', 'march', 'june', 'september']"
1255,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Business-Administration-Accountancy/p/PRG-US-00339524,3 Semester(s),7.0 IELTS,Masters Degree,"['january', 'march', 'june', 'september']"
1256,United Kingdom,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Science-Hons-Business-Finance-and-Management-with-a-Year-in-Industry/p/PRG-UK-00339968,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
1257,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Science-in-Finance/p/PRG-US-00339638,2 Semester(s),7.0 IELTS,Masters Degree,"['january', 'march', 'june', 'september']"
1258,Ireland,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/MSc-Corporate-Finance/p/PRG-IE-00340065,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1259,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Master-of-Commerce-Finance-MCOM-FIN-R2MCO/p/PRG-NZ-00342017,1 Year(s),6.5 IELTS,Masters Degree (Taught and Research),"['feb', 'march', 'july']"
1260,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/International-Master-of-Business-Administration-Finance/p/PRG-CA-00326484,20 Month(s),7.0 IELTS,Masters Degree,['september']
1261,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/International-Master-of-Business-Administration-Financial-Services/p/PRG-CA-00326485,20 Month(s),7.0 IELTS,Masters Degree,['september']
1262,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Financial-Planning/p/PRG-AU-00327750,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
1263,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Science-in-Business-Administration/p/PRG-US-00327683,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'august']"
1264,Canada,https://www.idp.com/global/Categories/Wilfrid-Laurier-University/Doctor-of-Philosophy-in-Management-Accounting/p/PRG-CA-00329211,4 Year(s),7.0 IELTS,Ph.D.,"['january', 'may', 'september']"
1265,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Doctor-of-Philosophy-in-Management-Finance/p/PRG-CA-00329212,4 Year(s),7.0 IELTS,Ph.D.,"['january', 'may', 'september']"
1266,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/Msc-Finance-with-Advanced-Practice-in-second-year/p/PRG-UK-00329220,2 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1267,United Kingdom,https://www.idp.com/global/Categories/University-of-Reading/Masters-in-Finance/p/PRG-UK-00330013,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1268,United States,https://www.idp.com/global/Categories/Finance/Actuarial-Science/Bachelor-of-Science-in-Mathematics-Actuarial-Science/p/PRG-US-00330336,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1269,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Science-in-Finance-Internal-Audit/p/PRG-US-00330490,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
1270,United States,https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/Bachelor-of-Science-in-International-Trade-and-Finance-Empirical-Economic-Analysis/p/PRG-US-00330577,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1271,Canada,https://www.idp.com/global/Categories/York-University/Post-Graduate-Certificate-in-Accounting/p/PRG-CA-00331633,2 Year(s),6.5 IELTS,Bachelor Degree,['september']
1272,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Science-in-Finance/p/PRG-US-00331048,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1273,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Bachelor-of-Applied-Data-Analytics-Bachelor-of-Finance-Flexible-Double-Degree-Arts-Social-Sciences-Business-Science/p/PRG-AU-00332027,4 Year(s),6.5 IELTS,Dual Degree,"['feb', 'july']"
1274,United States,https://www.idp.com/global/Categories/Oklahoma-State-University/Bachelor-of-Science-in-Statistics-Actuarial-Science/p/PRG-US-00331928,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'june', 'august']"
1275,United States,https://www.idp.com/global/Categories/University-of-the-Pacific---Shorelight/Master-of-Accounting/p/PRG-US-00330921,4 Semester(s),7.0 IELTS,Masters Degree,"['january', 'august']"
1276,United States,https://www.idp.com/global/Categories/Cleveland-State-University-%3F-Shorelight/Bachelor-of-Business-Administration-Finance/p/PRG-US-00333481,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1277,Canada,https://www.idp.com/global/Categories/York-University/Post-Graduate-Certificate-in-Advanced-Professional-Accounting/p/PRG-CA-00333757,8 Month(s),7.5 IELTS,Graduate Certificate,"['january', 'september']"
1278,United States,https://www.idp.com/global/Categories/Tulane-University/Bachelor-of-Science-in-Management-and-Master-of-Accounting/p/PRG-US-00284456,10 Semester(s),,Combined Baccalaureate and Master's Prog,['august']
1279,Canada,https://www.idp.com/global/Categories/Lakehead-University/Bachelor-of-Commerce-Honours-in-Accounting-Co-operative-Option/p/PRG-CA-00285195,5 Year(s),6.5 IELTS,Bachelor Degree with Honours,"['january', 'september']"
1280,United States,https://www.idp.com/global/Categories/Finance/Actuarial-Science/Bachelor-of-Science-in-Actuarial-Science/p/PRG-US-00352828,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'september']"
1281,United States,https://www.idp.com/global/Categories/Purdue-University-Northwest/Bachelor-of-Science-in-Accounting/p/PRG-US-00353624,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1282,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Bachelor-of-Science-in-Business-Finance/p/PRG-US-00354193,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
1283,Australia,https://www.idp.com/global/Categories/Australian-Catholic-University/Graduate-Certificate-in-Finance/p/PRG-AU-00354619,,6.5 IELTS,Graduate Certificate,"['feb', 'july']"
1284,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Certificate-of-Achievement-in-Accounting-Los-Medanos-College/p/PRG-US-00355116,2 Semester(s),5.5 IELTS,Advanced Certificate,"['january', 'june', 'august']"
1285,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Certificate-of-Achievement-in-Small-Business-Operations-Los-Medanos-College/p/PRG-US-00355122,2 Semester(s),5.5 IELTS,Advanced Certificate,"['january', 'june', 'august']"
1286,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Associate-in-Science-Accounting-Diablo-Valley-College/p/PRG-US-00355188,4 Semester(s),5.5 IELTS,Associate Degree,"['january', 'august']"
