,location,course_link,duration,entry_score,course_qualification,intakes
2259,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Journalism/BA-Hons-Media-Journalism-and-Publishing/p/PRG-UK-00312560,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2260,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Photography/Photography-with-foundation-BA-Honours/p/PRG-UK-00312489,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2261,United Kingdom,https://www.idp.com/global/Categories/Birmingham-City-University/International-Summer-School-Printmaking-and-Photography/p/PRG-UK-00313111,3 Week(s),,Foundation for Undergraduate,['july']
2262,United Kingdom,https://www.idp.com/global/Categories/University-of-South-Wales/MA-Film/p/PRG-UK-00316413,1 Year(s),6.0 IELTS,Masters Degree (Taught),"['january', 'september']"
2263,United Kingdom,https://www.idp.com/global/Categories/University-of-South-Wales/MA-Film-Documentary/p/PRG-UK-00316415,1 Year(s),6.0 IELTS,Masters Degree (Taught),"['january', 'september']"
2264,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Animation/BA-Hons-Animation-with-Foundation-Year/p/PRG-UK-00321302,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2265,United Kingdom,https://www.idp.com/global/Categories/Bangor-University/MA-in-Film-Studies/p/PRG-UK-00329282,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
2266,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Journalism/BA-Hons-Specialist-Sports-Journalism-with-Foundation-Year/p/PRG-UK-00330857,4 Year(s),7.0 IELTS,Bachelor Degree with Honours,['september']
2267,United Kingdom,https://www.idp.com/global/Categories/Birmingham-City-University/BA-Hons-Public-Relations-and-Media-with-a-Foundation-Year/p/PRG-UK-00335482,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2268,United Kingdom,https://www.idp.com/global/Categories/Oxford-Brookes-University/BA-Hons-Communication-Media-and-Culture-and-International-Relations/p/PRG-UK-00336101,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2269,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/BA-Hons-Communication-Media-and-Culture-and-Politics/p/PRG-UK-00336102,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2270,United Kingdom,https://www.idp.com/global/Categories/University-of-Portsmouth/PhDMPhil-Digital-and-Creative-Technologies/p/PRG-UK-00336320,3 Year(s),6.5 IELTS,Ph.D.,"['january', 'feb', 'october']"
2271,United Kingdom,https://www.idp.com/global/Categories/University-of-Westminster/MPhilPhD-Film/p/PRG-UK-00336475,4 Year(s),6.5 IELTS,Ph.D.,"['january', 'september']"
2272,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Photography/MPhilPhD-Photography/p/PRG-UK-00336476,4 Year(s),6.5 IELTS,Ph.D.,"['january', 'september']"
2273,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Photography/PhD-by-Published-Work-Photography/p/PRG-UK-00336482,2 Year(s),6.5 IELTS,Ph.D.,"['january', 'september']"
2274,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/MPhilPhD-Media-Studies/p/PRG-UK-00336564,4 Year(s),6.5 IELTS,Ph.D.,"['january', 'september']"
2275,United Kingdom,https://www.idp.com/global/Categories/University-of-South-Wales/BSc-Hons-Visual-Production/p/PRG-UK-00338511,1 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2276,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/BSc-Hons-Natural-History-and-Media/p/PRG-UK-00338854,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
