,location,course_link,duration,entry_score,course_qualification,intakes
6470,United Kingdom,https://www.idp.com/global/Categories/Loughborough-University/PhD-Interaction-and-Feedback-in-Online-University-Learning-Resources/p/PRG-UK-00372806,3 Year(s),6.5 IELTS,Ph.D.,"['january', 'april', 'may', 'july', 'october']"
6471,United Kingdom,https://www.idp.com/global/Categories/University-of-Manchester/PGCE-Secondary-Biology/p/PRG-UK-00068812,10 Month(s),6.5 IELTS,Graduate Certificate,['september']
6472,United Kingdom,https://www.idp.com/global/Categories/University-of-Manchester/PGCE-Secondary-Business-Education/p/PRG-UK-00068809,10 Month(s),6.5 IELTS,Graduate Certificate,['september']
6473,United Kingdom,https://www.idp.com/global/Categories/University-of-Plymouth/BEd-Hons-Primary-FSKS1-with-QTS/p/PRG-UK-00072091,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
6474,United Kingdom,https://www.idp.com/global/Categories/University-of-Plymouth/BA-Hons-Education/p/PRG-UK-00072105,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
6475,United Kingdom,https://www.idp.com/global/Categories/University-of-Lincoln/MPhil-in-Educational-Research-and-Development/p/PRG-UK-00072333,1 Year(s),6.5 IELTS,Masters Degree (Research),"['feb', 'may', 'july', 'october']"
6476,United Kingdom,https://www.idp.com/global/Categories/University-of-Leeds/Teaching-English-to-Speakers-of-Other-Languages-MEd/p/PRG-UK-00077678,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
6477,United Kingdom,https://www.idp.com/global/Categories/University-of-Leeds/Teaching-English-to-Speakers-of-Other-Languages-Teacher-Education-MA/p/PRG-UK-00077681,1 Year(s),7.0 IELTS,Masters Degree (Taught),"['january', 'september']"
6478,United Kingdom,https://www.idp.com/global/Categories/University-of-Reading/BA-Hons-Primary-Education-with-English-QTS/p/PRG-UK-00078852,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
6479,United Kingdom,https://www.idp.com/global/Categories/University-of-Reading/BA-Hons-Primary-Education-with-Art-Specialism-QTS/p/PRG-UK-00078853,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
6480,United Kingdom,https://www.idp.com/global/Categories/University-of-East-Anglia/Bachelor-of-Arts-Hons-Education/p/PRG-UK-00080240,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
6481,United Kingdom,https://www.idp.com/global/Categories/Kingston-University-London/Bachelor-of-Arts-in-Early-Years-Teaching-and-Learning-Honors-Top-Up/p/PRG-UK-00080567,1 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
6482,United Kingdom,https://www.idp.com/global/Categories/University-of-Stirling/MRes-Educational-Research/p/PRG-UK-00080766,1 Year(s),6.5 IELTS,Masters Degree (Research),['september']
6483,United Kingdom,https://www.idp.com/global/Categories/University-of-Stirling/BA-Hons-Education-Primary-and-Early-Years/p/PRG-UK-00080815,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
6484,United Kingdom,https://www.idp.com/global/Categories/University-of-Stirling/BA-Hons-Education-Primary-and-Modern-Languages/p/PRG-UK-00080817,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
