,area of study,course_name,university_name,course_fee,course_link
152,information-science-and-librarianship,Bachelor of Arts in Liberal Arts,Bishop's University,"CAD 98,000",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Bachelor-of-Arts-in-Liberal-Arts/p/PRG-CA-00151189
153,information-science-and-librarianship,Ontario College Certificate in General Arts and Science - Shki Miikan (New...,Georgian College,"CAD 16,540",https://www.idp.com/global/Categories/Georgian-College/Ontario-College-Certificate-in-General-Arts-and-Science-Shki-Miikan-New-Road/p/PRG-CA-00158469
154,information-science-and-librarianship,Master of Science in Interdisciplinary Studies,University of Saskatchewan,"CAD 13,462",https://www.idp.com/global/Categories/University-of-Saskatchewan/Master-of-Science-in-Interdisciplinary-Studies/p/PRG-CA-00165677
155,information-science-and-librarianship,Master of Arts in Interdisciplinary Studies,University of Saskatchewan,"CAD 13,462",https://www.idp.com/global/Categories/University-of-Saskatchewan/Master-of-Arts-in-Interdisciplinary-Studies/p/PRG-CA-00165679
156,information-science-and-librarianship,Bachelor of Arts in Liberal Arts (Honours),McGill University,"CAD 86,000",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Bachelor-of-Arts-in-Liberal-Arts-Honours/p/PRG-CA-00166037
157,information-science-and-librarianship,Bachelor of Arts in Liberal Arts,McGill University,"CAD 86,000",https://www.idp.com/global/Categories/McGill-University/Bachelor-of-Arts-in-Liberal-Arts/p/PRG-CA-00166038
158,information-science-and-librarianship,Bachelor of Arts in Liberal Studies (Honours),Oregon State University - INTO USA,"USD 129,420",https://www.idp.com/global/Categories/Oregon-State-University---INTO-USA/Bachelor-of-Arts-in-Liberal-Studies-Honours/p/PRG-US-00316920
159,information-science-and-librarianship,Bachelor of Science in Liberal Studies,Oregon State University - INTO USA,"USD 129,420",https://www.idp.com/global/Categories/Oregon-State-University---INTO-USA/Bachelor-of-Science-in-Liberal-Studies/p/PRG-US-00316918
160,information-science-and-librarianship,Certificate in English for Academic Purposes,Algonquin College,"CAD 20,318",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/General-Studies/Certificate-in-English-for-Academic-Purposes/p/PRG-CA-00341925
161,information-science-and-librarianship,Bachelor of Art in Liberal Studies,California State University Bakersfield,"USD 68,128",https://www.idp.com/global/Categories/California-State-University-Bakersfield/Bachelor-of-Art-in-Liberal-Studies/p/PRG-US-00348575
162,information-science-and-librarianship,Bachelor of Art in Liberal Studies - Non Teaching,California State University Bakersfield,"USD 68,128",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Bachelor-of-Art-in-Liberal-Studies-Non-Teaching/p/PRG-US-00348582
163,information-science-and-librarianship,Ontario College Certificate in General Arts and Science (Winter),Confederation College of Applied Arts and Technology,"CAD 15,890",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/General-Studies/Ontario-College-Certificate-in-General-Arts-and-Science-Winter/p/PRG-CA-00350758
164,information-science-and-librarianship,Ontario College Diploma in General Arts and Science (Winter),Confederation College of Applied Arts and Technology,"CAD 31,780",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Ontario-College-Diploma-in-General-Arts-and-Science-Winter/p/PRG-CA-00350763
165,information-science-and-librarianship,Certificate in General Arts and Science - College Exploration (Welland),Niagara College,"CAD 18,000",https://www.idp.com/global/Categories/Niagara-College/Certificate-in-General-Arts-and-Science-College-Exploration-Welland/p/PRG-CA-00351276
166,information-science-and-librarianship,Diploma in General Arts and Science (Welland),Niagara College,"CAD 36,000",https://www.idp.com/global/Categories/Niagara-College/Diploma-in-General-Arts-and-Science-Welland/p/PRG-CA-00351467
167,information-science-and-librarianship,Bachelor of Arts in Liberal Studies (Honours),Oregon State University - INTO USA,"USD 129,420",https://www.idp.com/global/Categories/Oregon-State-University---INTO-USA/Bachelor-of-Arts-in-Liberal-Studies-Honours/p/PRG-US-00316920
168,information-science-and-librarianship,Bachelor of Science in Liberal Studies,Oregon State University - INTO USA,"USD 129,420",https://www.idp.com/global/Categories/Oregon-State-University---INTO-USA/Bachelor-of-Science-in-Liberal-Studies/p/PRG-US-00316918
169,information-science-and-librarianship,Master of Arts in Liberal Arts,University of South Florida - INTO USA,"USD 31,728",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Master-of-Arts-in-Liberal-Arts/p/PRG-US-00317271
170,information-science-and-librarianship,Master of Arts in Liberal Arts - Social and Political Thought,University of South Florida - INTO USA,"USD 31,728",https://www.idp.com/global/Categories/University-of-South-Florida---INTO-USA/Master-of-Arts-in-Liberal-Arts-Social-and-Political-Thought/p/PRG-US-00317307
