,location,course_link,duration,entry_score,course_qualification,intakes
2632,New Zealand,https://www.idp.com/global/Categories/Ara-Institute-of-Canterbury-Limited/New-Zealand-Diploma-in-Construction-Construction-Management/p/PRG-NZ-00368854,2 Year(s),,Diploma level 6,"['feb', 'july']"
2633,New Zealand,https://www.idp.com/global/Categories/Ara-Institute-of-Canterbury-Limited/Bachelor-of-Construction-Construction-Management/p/PRG-NZ-00369037,3 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'march', 'july']"
2634,Australia,https://www.idp.com/global/Categories/TAFE-NSW-Institutes/Diploma-of-Interior-Design/p/PRG-AU-00369655,1 Year(s),,Diploma,"['feb', 'july']"
2635,Australia,https://www.idp.com/global/Categories/TAFE-NSW-Institutes/Advanced-Diploma-of-Building-Surveying/p/PRG-AU-00369824,3 Year(s),,Advanced Diploma,['december']
2636,Australia,https://www.idp.com/global/Categories/TAFE-NSW-Institutes/Diploma-of-Landscape-Design/p/PRG-AU-00369840,1 Year(s),,Diploma,['december']
2637,United Kingdom,https://www.idp.com/global/Categories/University-of-Gloucestershire/Bachelor-of-Arts-Interior-Architecture-and-Design/p/PRG-UK-00369856,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2638,United Kingdom,https://www.idp.com/global/Categories/University-of-Gloucestershire/Bachelor-of-Science-Hons-Quantity-Surveying/p/PRG-UK-00369875,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2639,New Zealand,https://www.idp.com/global/Categories/Waikato-Institute-of-Technology/New-Zealand-Diploma-in-Landscape-Practice-Level-5-with-strand-in-Design/p/PRG-NZ-00369984,1 Year(s),,Diploma level 5,['feb']
2640,New Zealand,https://www.idp.com/global/Categories/The-University-of-Auckland/Postgraduate-Certificate-in-Architectural-Project-Management/p/PRG-NZ-00370238,,6.5 IELTS,Postgraduate Certificate,"['feb', 'march']"
2641,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Postgraduate-Certificate-in-Architectural-Engineering/p/PRG-NZ-00370615,6 Month(s),6.5 IELTS,Postgraduate Certificate,"['feb', 'july']"
2642,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/BSc-Hons-Building-Surveying-with-placement/p/PRG-UK-00371782,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2643,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/MSc-Construction-Project-Management-with-BIM/p/PRG-UK-00372196,16 Month(s),6.5 IELTS,Masters Degree (Taught),['january']
2644,United Kingdom,https://www.idp.com/global/Categories/Loughborough-University/BSc-Hons-Commercial-Management-and-Quantity-Surveying/p/PRG-UK-00372151,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['october']
2645,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/Postgraduate-Certificate-in-Interior-Architecture/p/PRG-UK-00372315,1 Semester(s),6.5 IELTS,Graduate Certificate,['january']
2646,United Kingdom,https://www.idp.com/global/Categories/Loughborough-University/MArch-Architecture/p/PRG-UK-00372439,2 Year(s),6.5 IELTS,Masters Degree (Taught),['october']
2647,United Kingdom,https://www.idp.com/global/Categories/University-of-Huddersfield/MA-Interior-Design/p/PRG-UK-00372553,1 Year(s),6.0 IELTS,Masters Degree (Taught),"['january', 'september']"
2648,United Kingdom,https://www.idp.com/global/Categories/University-of-Huddersfield/MLA-Landscape-Architecture/p/PRG-UK-00372598,2 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
2649,United Kingdom,https://www.idp.com/global/Categories/Loughborough-University/PhD-Development-of-Housing-and-the-Creation-of-Flood-Risk/p/PRG-UK-00372795,3 Year(s),6.5 IELTS,Ph.D.,['july']
2650,Australia,https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Advanced-Diploma-of-Building-Design-Architectural/p/PRG-AU-00330263,2 Year(s),,Advanced Diploma,"['feb', 'july']"
2651,Australia,https://www.idp.com/global/Categories/TAFE-Western-Australia/Certificate-II-in-Landscaping/p/PRG-AU-00330465,1 Semester(s),,Certificate II,['feb']
2652,Australia,https://www.idp.com/global/Categories/University-of-the-Sunshine-Coast/Bachelor-of-Urban-Design-and-Town-Planning-Honours/p/PRG-AU-00330676,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,"['march', 'july']"
2653,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Urban-planning/Master-of-City-and-Metropolitan-Planning-Housing-and-Community-Development/p/PRG-US-00332604,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
2654,Australia,https://www.idp.com/global/Categories/University-of-South-Australia/Bachelor-of-Construction-Management-Honours/p/PRG-AU-00334100,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,"['feb', 'march', 'july']"
2655,United States,https://www.idp.com/global/Categories/Illinois-Institute-Of-Technology---CEG/Master-of-Engineering-in-Architectural-Engineering/p/PRG-US-00334502,3 Semester(s),6.5 IELTS,Professional Masters Degree,"['january', 'may', 'august']"
2656,United States,https://www.idp.com/global/Categories/Illinois-Institute-Of-Technology---CEG/Bachelor-of-Architecture/p/PRG-US-00334651,10 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
2657,United States,https://www.idp.com/global/Categories/Illinois-Institute-Of-Technology---CEG/Master-of-ArchitectureMaster-of-Landscape-Architecture/p/PRG-US-00334646,3 Semester(s),6.5 IELTS,Double Major Degree,['august']
2658,United States,https://www.idp.com/global/Categories/Illinois-Institute-Of-Technology---CEG/Master-of-Science-in-Technology-and-Humanities/p/PRG-US-00334680,4 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
2659,United States,https://www.idp.com/global/Categories/Illinois-Institute-Of-Technology---CEG/Master-of-Industrial-Technology-and-Operations-Facilities-Management/p/PRG-US-00334723,3 Semester(s),6.5 IELTS,Professional Masters Degree,"['january', 'may', 'august']"
2660,New Zealand,https://www.idp.com/global/Categories/Lincoln-University/Bachelor-of-Land-and-Property-Management-Primary-Production/p/PRG-NZ-00361824,4 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july', 'november']"
2661,New Zealand,https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Commerce-and-Science-Land-Planning-and-Development/p/PRG-NZ-00362514,4 Year(s),6.0 IELTS,Bachelor Degree,"['feb', 'july']"
2662,United States,https://www.idp.com/global/Categories/Illinois-State-University---INTO-USA/Bachelor-of-Science-in-Art-Studio-Arts-Painting/p/PRG-US-00363141,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
2663,Ireland,https://www.idp.com/global/Categories/National-University-of-Ireland%2C-Galway/MSc-Biodiversity-and-Land-Use-Planning/p/PRG-IE-00374787,2 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2664,Ireland,https://www.idp.com/global/Categories/National-University-of-Ireland%2C-Galway/MA-Rural-Futures-Planning-and-Innovation/p/PRG-IE-00374810,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2665,Australia,https://www.idp.com/global/Categories/RMIT-University/Graduate-Certificate-in-Property/p/PRG-AU-00375167,,6.5 IELTS,Graduate Certificate,"['feb', 'march', 'june', 'july']"
2666,Australia,https://www.idp.com/global/Categories/RMIT-University/Graduate-Certificate-in-Energy-Efficient-and-Sustainable-Building/p/PRG-AU-00375158,,6.5 IELTS,Graduate Certificate,"['feb', 'march', 'june', 'july']"
2667,Canada,https://www.idp.com/global/Categories/Acadia-University/Bachelors-of-Community-Development-with-Environmental-and-Sustainability-Studies/p/PRG-CA-00174056,4 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'september']"
2668,United Kingdom,https://www.idp.com/global/Categories/Loughborough-University/PhD-Urban-Planning-and-Disaster-Risk-Creation/p/PRG-UK-00372868,3 Year(s),6.5 IELTS,Ph.D.,['october']
2669,United States,https://www.idp.com/global/Categories/California-State-University---East-Bay/Master-of-Science-in-Construction-Management/p/PRG-US-00187204,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
2670,United States,https://www.idp.com/global/Categories/California-State-University---Fullerton/Master-of-Fine-Arts-in-Art-Drawing-and-Painting/p/PRG-US-00187272,6 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
2671,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Bachelor-of-Science-in-Architectural-Studies-Sustainability/p/PRG-US-00189097,8 Semester(s),6.0 IELTS,Bachelor Degree,['september']
2672,United States,https://www.idp.com/global/Categories/Idaho-State-University/Bachelor-of-Science-in-Surveying-and-Geomatics-Engineering-Technology/p/PRG-US-00189489,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'august']"
2673,United States,https://www.idp.com/global/Categories/West-Virginia-University/Bachelor-of-Science-in-Energy-Land-Management/p/PRG-US-00189577,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
2674,United States,https://www.idp.com/global/Categories/West-Virginia-University/Bachelor-of-Fine-Arts-in-Painting/p/PRG-US-00189674,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
2675,United States,https://www.idp.com/global/Categories/San-Diego-State-University/Master-of-City-Planning/p/PRG-US-00191036,5 Semester(s),6.5 IELTS,Masters Degree,['august']
2676,United States,https://www.idp.com/global/Categories/Virginia-Tech/Bachelor-of-Arts-in-Residential-Environments-and-Design/p/PRG-US-00191066,8 Semester(s),6.5 IELTS,Bachelor Degree,['august']
2677,United States,https://www.idp.com/global/Categories/Virginia-Tech/Master-of-Architecture-Comprehensive-Professional-Studies/p/PRG-US-00191138,9 Semester(s),7.0 IELTS,Masters Degree,['august']
2678,United States,https://www.idp.com/global/Categories/West-Virginia-University/Master-of-Fine-Arts-in-Painting/p/PRG-US-00191629,6 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
2679,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Master-of-Architecture/p/PRG-US-00192167,6 Semester(s),7.0 IELTS,Masters Degree,"['may', 'september']"
