,location,course_link,duration,entry_score,course_qualification,intakes
7691,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-Arts-in-Mathematical-Sciences-Mathematics/p/PRG-US-00257706,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7692,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Arts-in-Economics-Master-of-International-Affairs/p/PRG-US-00257776,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7693,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Arts-in-Economics-Master-of-Public-Service-Administration/p/PRG-US-00257777,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7694,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Science-in-Economics-Master-of-Public-Service-Administration/p/PRG-US-00257779,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7695,United States,https://www.idp.com/global/Categories/University-of-Missouri/Master-of-Science-in-Human-Development-and-Family-Studies/p/PRG-US-00257898,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
7696,United States,https://www.idp.com/global/Categories/University-of-Nevada%2C-Las-Vegas/Master-of-Science-in-Applied-Economics-and-Data-Intelligence/p/PRG-US-00257907,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
7697,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Arts-in-Mathematics-Master-of-Science-in-Mathematics/p/PRG-US-00257941,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7698,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-Science-in-Mathematics-Master-of-Science-in-Mathematics/p/PRG-US-00257946,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7699,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Science-in-Applied-Mathematics-Computational/p/PRG-US-00257950,4 Year(s),,Bachelor Degree,"['january', 'august']"
7700,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-Arts-in-Mathematics/p/PRG-US-00258347,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7701,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-ArtsMaster-of-Arts-in-Mathematics/p/PRG-US-00258351,10 Semester(s),6.0 IELTS,Combined Baccalaureate and Master's Prog,"['january', 'may', 'august']"
7702,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Wilmington/Bachelor-of-ScienceMaster-of-Science-in-Mathematics/p/PRG-US-00258352,10 Semester(s),6.0 IELTS,Combined Baccalaureate and Master's Prog,"['january', 'may', 'august']"
7703,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-Applied-Professional-Track/p/PRG-US-00258428,2 Year(s),,Masters Degree,"['january', 'june', 'august']"
7704,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-Applied-Professional-Track-Computational-Math-Track/p/PRG-US-00258430,2 Year(s),,Masters Degree,"['january', 'june', 'august']"
7705,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Wilmington/Bachelor-of-Science-in-Business-Administration-Economics/p/PRG-US-00258448,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7706,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Wilmington/Bachelor-of-Science-in-Business-Administration-Entrepreneurship-and-Business-Development/p/PRG-US-00258449,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7707,United States,https://www.idp.com/global/Categories/Central-Michigan-University/Bachelor-of-Science-in-Fashion-Merchandising-and-Design-Fashion-Merchandising/p/PRG-US-00258510,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
7708,United States,https://www.idp.com/global/Categories/Central-Michigan-University/Bachelor-of-Science-in-Law-and-Economics/p/PRG-US-00258572,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
7709,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Wilmington/Master-of-Science-in-Mathematics/p/PRG-US-00258701,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
7710,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-Applied-Professional-Track/p/PRG-US-00258428,2 Year(s),,Masters Degree,"['january', 'june', 'august']"
7711,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Master-of-Science-in-Mathematics-Applied-Professional-Track-Computational-Math-Track/p/PRG-US-00258430,2 Year(s),,Masters Degree,"['january', 'june', 'august']"
7712,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Wilmington/Bachelor-of-Science-in-Business-Administration-Economics/p/PRG-US-00258448,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
