,location,course_link,duration,entry_score,course_qualification,intakes
9475,United Kingdom,https://www.idp.com/global/Categories/Business/BA-Real-Estate-Management-and-Finance-Dubai-Campus/p/PRG-UK-00337786,3 Year(s),6.0 IELTS,Bachelor Degree,['september']
9476,United Kingdom,https://www.idp.com/global/Categories/Business/Innovation/MSc-Business-Management-Leadership-and-Innovation/p/PRG-UK-00337850,1 Year(s),6.0 IELTS,Masters Degree (Taught),"['january', 'september']"
9477,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/PhD-Business-and-Administration-Malaysia-Campus/p/PRG-UK-00338130,3 Year(s),6.5 IELTS,Ph.D.,"['january', 'may', 'september']"
9478,United Kingdom,https://www.idp.com/global/Categories/University-of-Bristol/EngD-Future-Innovation-in-Non-Destructive-Evaluation/p/PRG-UK-00338606,4 Year(s),6.5 IELTS,Ph.D.,['september']
9479,United Kingdom,https://www.idp.com/global/Categories/Business/MSc-Business-Analytics-and-Consultancy/p/PRG-UK-00355849,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
9480,United Kingdom,https://www.idp.com/global/Categories/University-of-Wolverhampton/International-MBA-with-Professional-Practice/p/PRG-UK-00356421,18 Month(s),6.0 IELTS,Masters Degree (Taught),"['feb', 'may', 'september']"
9481,United Kingdom,https://www.idp.com/global/Categories/University-of-Bristol/MSc-Business-Analytics/p/PRG-UK-00363288,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
9482,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/MRes-in-Human-Resource-Management/p/PRG-UK-00372974,3 Year(s),6.5 IELTS,Masters Degree (Research),['september']
9483,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/MSc-Spatial-Planning-and-Real-Estate-Development/p/PRG-UK-00372903,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
9484,United Kingdom,https://www.idp.com/global/Categories/Edinburgh-Napier-University/MSc-Business-Management-Leadership-and-Innovation/p/PRG-UK-00373034,1 Year(s),6.0 IELTS,Masters Degree (Taught),"['january', 'september']"
9485,United Kingdom,https://www.idp.com/global/Categories/University-of-Bristol/MPhil-in-Innovation-and-Entrepreneurship/p/PRG-UK-00374022,1 Year(s),7.0 IELTS,Masters Degree (Research),['september']
9486,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/Foundation-Year-Business-Malaysia/p/PRG-UK-00374566,1 Year(s),,Foundation for Undergraduate,"['april', 'june', 'july', 'september']"
9487,Australia,https://www.idp.com/global/Categories/The-University-of-Adelaide/Graduate-Diploma-in-Commerce/p/PRG-AU-00058842,1 Year(s),6.5 IELTS,Graduate Diploma,"['march', 'july']"
9488,Australia,https://www.idp.com/global/Categories/Business/Business-Administration/Graduate-Certificate-in-Business-Administration/p/PRG-AU-00058845,,7.0 IELTS,Graduate Certificate,"['may', 'september']"
9489,Australia,https://www.idp.com/global/Categories/The-University-of-Adelaide/Graduate-Diploma-in-Global-Food-and-Agricultural-Business/p/PRG-AU-00059339,1 Year(s),6.5 IELTS,Graduate Diploma,"['may', 'september']"
9490,Australia,https://www.idp.com/global/Categories/Business/Management-and-Commerce/Bachelor-of-Commerce-and-Bachelor-of-Arts/p/PRG-AU-00158765,4 Year(s),6.5 IELTS,Dual Degree,"['march', 'july']"
9491,Australia,https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Commerce-and-Bachelor-of-Science/p/PRG-AU-00158771,4 Year(s),6.5 IELTS,Dual Degree,"['march', 'july']"
9492,Australia,https://www.idp.com/global/Categories/The-University-of-Adelaide/Bachelor-of-Business-Global/p/PRG-AU-00181369,3 Year(s),6.5 IELTS,Bachelor Degree,"['march', 'july']"
9493,Australia,https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Business-Bendigo/p/PRG-AU-00207496,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july', 'november']"
9494,Australia,https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Business-Mildura/p/PRG-AU-00207497,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july', 'november']"
9495,Australia,https://www.idp.com/global/Categories/The-University-of-Adelaide/Master-of-Mathematical-Science/p/PRG-AU-00229922,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july']"
9496,Australia,https://www.idp.com/global/Categories/La-Trobe-University/Graduate-Diploma-in-Business-Analytics/p/PRG-AU-00247237,1 Year(s),6.5 IELTS,Graduate Diploma,['march']
9497,Australia,https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Commerce-and-Bachelor-of-Computer-Science/p/PRG-AU-00261992,4 Year(s),6.5 IELTS,Dual Degree,"['march', 'july']"
9498,Australia,https://www.idp.com/global/Categories/Academies-Australasia-Polytechnic-Pty-Limited/Advanced-Diploma-of-Marketing-and-Communication/p/PRG-AU-00274980,9 Month(s),,Advanced Diploma,"['january', 'april', 'july', 'september']"
9499,Australia,https://www.idp.com/global/Categories/Academies-Australasia-Polytechnic-Pty-Limited/Diploma-of-Marketing-and-Communication/p/PRG-AU-00274982,9 Month(s),,Diploma,"['january', 'april', 'july', 'september']"
