,area of study,course_name,university_name,course_fee,course_link
66,business,Master of Management - Marketing,Massey University,"NZD 47,715",https://www.idp.com/global/Categories/Massey-University/Master-of-Management-Marketing/p/PRG-NZ-00109878
67,business,Master of Management - Organisational Technology Management,Massey University,"NZD 47,715",https://www.idp.com/global/Categories/Massey-University/Master-of-Management-Organisational-Technology-Management/p/PRG-NZ-00329605
68,business,Master of Business - International Business,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Business-International-Business/p/PRG-NZ-00302732
69,business,Master of Business - Management,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Business-Management/p/PRG-NZ-00302733
70,business,Master of Business - Marketing,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Business-Marketing/p/PRG-NZ-00302734
71,business,Master of Management - Sustainability,Massey University,"NZD 47,715",https://www.idp.com/global/Categories/Massey-University/Master-of-Management-Sustainability/p/PRG-NZ-00311911
72,business,Master of Business,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Business/p/PRG-NZ-00074184
73,business,Master of Global Business,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Global-Business/p/PRG-NZ-00110150
74,business,Postgraduate Diploma in Business,University of Canterbury,"NZD 30,250",https://www.idp.com/global/Categories/University-of-Canterbury/Postgraduate-Diploma-in-Business/p/PRG-NZ-00117933
75,business,Master of Business - Business Information Systems,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Business-Business-Information-Systems/p/PRG-NZ-00302729
76,business,Master of Business - Sport Leadership and Management,AUT,"NZD 49,995",https://www.idp.com/global/Categories/Business/Sports-Management/Master-of-Business-Sport-Leadership-and-Management/p/PRG-NZ-00302737
77,business,UTP Stage I,Fraser International College (FIC),"CAD 21,815",https://www.idp.com/global/Categories/Fraser-International-College-%28FIC%29/UTP-Stage-I/p/PRG-CA-00075397
78,business,Transition Foundation Studies Program,UNSW Global Pty Ltd Foundation Year,"AUD 22,800",https://www.idp.com/global/Categories/UNSW-Global-Pty-Ltd-Foundation-Year/Transition-Foundation-Studies-Program/p/PRG-AU-00060515
79,business,MSc Management,University of Nottingham,"GBP 25,000",https://www.idp.com/global/Categories/University-of-Nottingham/MSc-Management/p/PRG-UK-00081148
80,business,Diploma of Business (Standard),UTS College,"AUD 33,000",https://www.idp.com/global/Categories/UTS-College/Diploma-of-Business-Standard/p/PRG-AU-00059884
81,business,Graduate Certificate in International Business Management,Centennial College of Applied Arts and Technology,"CAD 18,854",https://www.idp.com/global/Categories/Centennial-College-of-Applied-Arts-and-Technology/Graduate-Certificate-in-International-Business-Management/p/PRG-CA-00090602
82,business,MSc Marketing,Lancaster University,"GBP 24,150",https://www.idp.com/global/Categories/Lancaster-University/MSc-Marketing/p/PRG-UK-00170384
83,business,Bachelor of Commerce,Curtin University,"AUD 89,400",https://www.idp.com/global/Categories/Curtin-University/Bachelor-of-Commerce/p/PRG-AU-00062538
84,business,MSc Management: Entrepreneurship and Innovation Pathway,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Management-Entrepreneurship-and-Innovation-Pathway/p/PRG-UK-00121226
85,business,Global Achievement Academy 3 (GAA 3),University of Central Florida - Shorelight,"USD 41,250",https://www.idp.com/global/Categories/University-of-Central-Florida---Shorelight/Global-Achievement-Academy-3-GAA-3/p/PRG-US-00049815
86,business,Master of Business Information Systems,The Australian National University,"AUD 91,380",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Business-Information-Systems/p/PRG-AU-00063904
87,business,Trinity College Foundation Studies (Fast Track),Trinity College,"AUD 34,630",https://www.idp.com/global/Categories/Trinity-College/Trinity-College-Foundation-Studies-Fast-Track/p/PRG-AU-00058943
88,business,Graduate Certificate in Project Management,Durham College,"CAD 13,322",https://www.idp.com/global/Categories/Durham-College/Graduate-Certificate-in-Project-Management/p/PRG-CA-00110464
89,business,Master of International Business,The University of Melbourne,"AUD 91,648",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-International-Business/p/PRG-AU-00120999
90,business,Master of Management,The University of Melbourne,"AUD 91,648",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Management/p/PRG-AU-00060771
91,business,Master of Management,The University of Melbourne,"AUD 68,736",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Management/p/PRG-AU-00274626
92,business,Master of International Business,The University of Melbourne,"AUD 68,736",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-International-Business/p/PRG-AU-00369002
93,business,Ontario College Graduate Certificate in International Business Management,George Brown College,"CAD 15,480",https://www.idp.com/global/Categories/George-Brown-College/Ontario-College-Graduate-Certificate-in-International-Business-Management/p/PRG-CA-00092125
94,business,Ontario Graduate Certificate in Project Management,Humber Institute of Technology & Advanced Learning,"CAD 16,607",https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Project-Management/p/PRG-CA-00089949
95,business,Graduate Certificate in Marketing Management,Fanshawe College,"CAD 14,046",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Marketing-Management/p/PRG-CA-00106187
96,business,Foundation Pathways at Birmingham,University of Birmingham,"GBP 19,740",https://www.idp.com/global/Categories/University-of-Birmingham/Foundation-Pathways-at-Birmingham/p/PRG-UK-00335376
97,business,Foundation Studies (Standard),The University of Adelaide College,"AUD 29,800",https://www.idp.com/global/Categories/The-University-of-Adelaide-College/Foundation-Studies-Standard/p/PRG-AU-00062512
