,location,course_link,duration,entry_score,course_qualification,intakes
1416,United States,https://www.idp.com/global/Categories/West-Virginia-University/Bachelor-of-Arts-in-Physics/p/PRG-US-00029881,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1417,United States,https://www.idp.com/global/Categories/West-Virginia-University/Doctor-of-Philosophy-in-Physics/p/PRG-US-00029991,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1418,United States,https://www.idp.com/global/Categories/West-Virginia-University/Master-of-Science-in-Physics/p/PRG-US-00029992,3 Semester(s),6.5 IELTS,Masters Degree,['august']
1419,United States,https://www.idp.com/global/Categories/University-of-Miami/Doctor-of-Philosophy-in-Atmospheric-Sciences/p/PRG-US-00030087,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1420,United States,https://www.idp.com/global/Categories/University-of-Miami/Master-of-Science-in-Atmospheric-Sciences/p/PRG-US-00030088,2 Semester(s),6.5 IELTS,Masters Degree,['august']
1421,United States,https://www.idp.com/global/Categories/University-of-Miami/Bachelor-of-Science-in-Marine-and-Atmospheric-Science-Marine-SciencePhysics/p/PRG-US-00030178,8 Semester(s),6.5 IELTS,Double Major Degree,"['january', 'august']"
1422,United States,https://www.idp.com/global/Categories/University-of-Delaware/Bachelor-of-Arts-in-Physics/p/PRG-US-00030309,8 Semester(s),6.5 IELTS,Bachelor Degree,"['feb', 'september']"
1423,United States,https://www.idp.com/global/Categories/University-of-Delaware/Doctor-of-Philosophy-in-Applied-Physiology/p/PRG-US-00030347,8 Semester(s),6.5 IELTS,Ph.D.,"['feb', 'september']"
1424,United States,https://www.idp.com/global/Categories/University-of-Delaware/Master-of-Science-in-Physics/p/PRG-US-00030384,3 Semester(s),6.0 IELTS,Masters Degree,['september']
1425,United States,https://www.idp.com/global/Categories/University-of-Texas---Arlington/Doctor-of-Philosophy-in-Physics-and-Applied-Physics/p/PRG-US-00030554,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1426,United States,https://www.idp.com/global/Categories/University-of-Texas---Arlington/Bachelor-of-Science-in-Physics/p/PRG-US-00030658,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1427,United States,https://www.idp.com/global/Categories/University-of-California%2C-Los-Angeles/Master-of-Science-in-Atmospheric-and-Oceanic-Sciences/p/PRG-US-00030798,2 Year(s),7.0 IELTS,Masters Degree,['september']
1428,United States,https://www.idp.com/global/Categories/University-of-California%2C-Los-Angeles/Bachelor-of-Science-in-Atmospheric-and-Oceanic-Sciences/p/PRG-US-00030851,8 Semester(s),7.0 IELTS,Bachelor Degree,['september']
1429,United States,https://www.idp.com/global/Categories/University-of-California%2C-Los-Angeles/Bachelor-of-Science-in-Astrophysics/p/PRG-US-00030912,8 Semester(s),7.0 IELTS,Bachelor Degree,['september']
1430,United States,https://www.idp.com/global/Categories/Rensselaer-Polytechnic-Institute/Doctor-of-Philosophy-in-Physics/p/PRG-US-00030928,6 Semester(s),6.5 IELTS,Ph.D.,"['january', 'may', 'august']"
1431,United States,https://www.idp.com/global/Categories/Rensselaer-Polytechnic-Institute/Master-of-Engineering-in-Materials-Science-and-Engineering/p/PRG-US-00030935,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
1432,United States,https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Master-of-Science-in-Materials-Science-and-Engineering/p/PRG-US-00030934,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
1433,United States,https://www.idp.com/global/Categories/Physics/Applied-Physics/Bachelor-of-Science-in-Applied-Physics/p/PRG-US-00030996,8 Semester(s),7.0 IELTS,Bachelor Degree,['august']
1434,United States,https://www.idp.com/global/Categories/University-of-Connecticut/Doctor-of-Philosophy-in-Physics/p/PRG-US-00031209,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1435,United States,https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Doctor-of-Philosophy-in-Materials-Science-and-Engineering/p/PRG-US-00031252,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1436,United States,https://www.idp.com/global/Categories/Northern-Illinois-University/Bachelor-of-Science-in-Physics/p/PRG-US-00032290,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
1437,United States,https://www.idp.com/global/Categories/Stevens-Institute-of-Technology/Bachelor-of-Science-in-Physics/p/PRG-US-00032500,8 Semester(s),6.0 IELTS,Bachelor Degree,['august']
1438,United States,https://www.idp.com/global/Categories/Stevens-Institute-of-Technology/Graduate-Certificate-in-Photonics/p/PRG-US-00032580,1 Semester(s),7.0 IELTS,Graduate Certificate,"['january', 'august']"
1439,United States,https://www.idp.com/global/Categories/Stevens-Institute-of-Technology/Master-of-Science-in-Physics/p/PRG-US-00032641,3 Semester(s),7.0 IELTS,Masters Degree,"['january', 'august']"
1440,United States,https://www.idp.com/global/Categories/University-of-Alabama/Bachelor-of-Science-in-Physics/p/PRG-US-00032904,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1441,United States,https://www.idp.com/global/Categories/SUNY-University-at-Albany/Doctor-of-Philosophy-in-Physics/p/PRG-US-00032988,6 Semester(s),6.5 IELTS,Ph.D.,"['january', 'august']"
1442,United States,https://www.idp.com/global/Categories/Portland-State-University/Master-of-Arts-in-Physics/p/PRG-US-00033228,2 Year(s),6.5 IELTS,Masters Degree,['september']
1443,United States,https://www.idp.com/global/Categories/Stanford-University/Doctor-of-Philosophy-in-Applied-Physics/p/PRG-US-00033328,6 Semester(s),6.0 IELTS,Ph.D.,['september']
1444,United States,https://www.idp.com/global/Categories/Stanford-University/Master-of-Science-in-Applied-Physics/p/PRG-US-00033329,2 Semester(s),6.0 IELTS,Masters Degree,['september']
1445,United States,https://www.idp.com/global/Categories/Stanford-University/Master-of-Science-in-Materials-Science-and-Engineering/p/PRG-US-00033427,2 Semester(s),6.0 IELTS,Masters Degree,['september']
1446,United States,https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Doctor-of-Philosophy-in-Materials-Science-and-Engineering/p/PRG-US-00033426,6 Semester(s),6.0 IELTS,Ph.D.,['september']
1447,United States,https://www.idp.com/global/Categories/Stanford-University/Bachelor-of-Science-in-AtmosphereEnergy/p/PRG-US-00033491,8 Semester(s),6.0 IELTS,Bachelor Degree,['september']
1448,United States,https://www.idp.com/global/Categories/St-John%27s-University/Bachelor-of-Science-in-Mathematical-Physics-Queens-Campus/p/PRG-US-00033515,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
1449,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Charlotte/Bachelor-of-Science-in-PhysicsBachelor-of-Science-in-Computer-Engineering/p/PRG-US-00033870,8 Semester(s),6.0 IELTS,Double Major Degree,['august']
1450,United States,https://www.idp.com/global/Categories/Vanderbilt-University/Doctor-of-Philosophy-in-Materials-Science/p/PRG-US-00034100,8 Semester(s),7.0 IELTS,Ph.D.,['august']
1451,United States,https://www.idp.com/global/Categories/Indiana-University-of-Pennsylvania/Bachelor-of-Science-in-Physics/p/PRG-US-00034124,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'august']"
1452,United States,https://www.idp.com/global/Categories/Physics/Nuclear-Physics/Bachelor-of-Science-in-Medical-Imaging-Nuclear-Medicine-Technology/p/PRG-US-00034133,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'august']"
1453,United States,https://www.idp.com/global/Categories/Wake-Forest-University/Bachelor-of-Arts-Master-of-Science-in-Physics/p/PRG-US-00034173,10 Semester(s),6.0 IELTS,Combined Baccalaureate and Master's Prog,"['january', 'august']"
1454,United States,https://www.idp.com/global/Categories/University-of-Wyoming/Doctor-of-Philosophy-in-Physics-and-Astronomy/p/PRG-US-00034372,8 Semester(s),6.5 IELTS,Ph.D.,['august']
1455,United States,https://www.idp.com/global/Categories/Harvard-University/Doctor-of-Philosophy-in-Applied-Physics/p/PRG-US-00034630,3 Year(s),6.5 IELTS,Ph.D.,['september']
1456,United States,https://www.idp.com/global/Categories/California-Institute-of-Technology/Bachelor-of-Science-in-Astronomy/p/PRG-US-00034693,8 Semester(s),,Bachelor Degree,['september']
1457,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Master-of-Science-in-Materials-Science-and-Engineering/p/PRG-US-00034756,2 Year(s),,Masters Degree,['august']
1458,United States,https://www.idp.com/global/Categories/Idaho-State-University/Associate-of-Science-in-Physics/p/PRG-US-00034851,4 Semester(s),5.5 IELTS,Associate Degree,"['january', 'august']"
1459,United States,https://www.idp.com/global/Categories/Case-Western-Reserve-University/Bachelor-of-Science-in-Engineering-Materials-Science-and-Engineering/p/PRG-US-00035027,8 Semester(s),7.0 IELTS,Bachelor Degree,"['january', 'august']"
1460,United States,https://www.idp.com/global/Categories/California-State-University%2C-Los-Angeles/Bachelor-of-Arts-in-Physics/p/PRG-US-00036270,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'june', 'august']"
1461,United States,https://www.idp.com/global/Categories/California-State-University%2C-Los-Angeles/Bachelor-of-Science-in-Physics/p/PRG-US-00036269,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'june', 'august']"
1462,United States,https://www.idp.com/global/Categories/Florida-Institute-of-Technology/Bachelor-of-Science-in-Physics-Premedical-Physics/p/PRG-US-00036935,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1463,United States,https://www.idp.com/global/Categories/University-of-La-Verne/Bachelor-of-Arts-in-Physics/p/PRG-US-00037491,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'feb', 'august']"
1464,United States,https://www.idp.com/global/Categories/Foothill-College/Associate-of-Science-in-Physics/p/PRG-US-00037698,4 Semester(s),6.0 IELTS,Associate Degree,"['january', 'april', 'september']"
